ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Timepoint	Plane	Nuclei NoBorder - Number of Objects	Nuclei NoBorder - Nucleus Area [µm²] - Mean per Well	Nuclei NoBorder - Nucleus Area [µm²] - StdDev per Well	Nuclei NoBorder - Nucleus Roundness - Mean per Well	Nuclei NoBorder - Nucleus Roundness - StdDev per Well	Nuclei NoBorder - Nucleus Width [µm] - Mean per Well	Nuclei NoBorder - Nucleus Width [µm] - StdDev per Well	Nuclei NoBorder - Nucleus Length [µm] - Mean per Well	Nuclei NoBorder - Nucleus Length [µm] - StdDev per Well	Nuclei NoBorder - Intensity Cell Alexa 647 Mean - Mean per Well	Nuclei NoBorder - Intensity Cell Alexa 647 Mean - StdDev per Well	Nuclei NoBorder - Hoechst Mean - Mean per Well	Nuclei NoBorder - Hoechst Mean - StdDev per Well	Nuclei NoBorder - Intensity Cytoplasm Alexa 647 Mean - Mean per Well	Nuclei NoBorder - Intensity Cytoplasm Alexa 647 Mean - StdDev per Well	Nuclei NoBorder - Intensity Nucleus Alexa 647 Mean - Mean per Well	Nuclei NoBorder - Intensity Nucleus Alexa 647 Mean - StdDev per Well	Nuclei NoBorder - DNA content - Mean per Well	Nuclei NoBorder - DNA content - StdDev per Well	Number of Analyzed Fields	Link
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	E7	5	7	1	1	17771	128.411542469	41.0722195497	0.923349150539	0.0762785674086	9.30273783899	1.68419847117	14.4211719914	3.04322395749	242.158618876	171.074154514	2481.65987044	835.803789775	265.001534168	178.994098368	225.64621297	180.737363144	316405.43518	144045.406136	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=5.7
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	E8	5	8	1	1	17854	129.182766263	40.6098543455	0.925715483741	0.0770924102434	9.38728122967	1.71041345099	14.3841825362	2.99234628534	226.489311964	150.05777638	2542.78732291	872.215866446	243.50307791	157.269115605	215.142199663	161.891014314	325885.269685	147651.613718	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=5.8
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	E9	5	9	1	1	18106	128.320892432	39.0600966016	0.933155214396	0.07587787037	9.47957253735	1.68414619508	14.1739898791	2.92175519409	222.02079162	138.10132118	2575.86933986	890.977873675	236.635941138	145.845548985	212.926004424	148.629687479	328408.397391	149838.158458	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=5.9
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	E10	5	10	1	1	17944	128.135543698	38.328208864	0.939993579012	0.0724620550689	9.56342078522	1.65661261246	14.0341031056	2.85506608926	229.672003832	136.748651333	2512.55945388	858.386097597	243.932191899	146.317086543	219.289130171	144.727670404	319693.490399	142161.99356	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=5.10
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	E11	5	11	1	1	18059	129.659707223	39.5108686207	0.94004792077	0.073308383095	9.63208524716	1.71821802098	14.112039455	2.84107397267	236.155261322	141.892692011	2515.62259091	805.319733818	251.444432879	150.71566831	224.904911117	150.590262273	323263.929684	138127.254393	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=5.11
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	F2	6	2	1	1	15888	129.905699135	38.7347494413	0.950219400128	0.0656478490042	9.77360832012	1.73687542039	13.93921049	2.64240680095	270.683918784	161.240651337	2960.08774899	829.701865866	278.28149986	171.657027534	273.83009617	175.791066329	379747.559267	146002.448386	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=6.2
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	F3	6	3	1	1	11124	121.919830904	26.2544239631	0.956695232751	0.0512234968196	9.56065696574	1.31541831956	13.4542982427	1.77438371363	52.1247380786	21.4301485388	2510.89996342	685.919200571	48.0284475487	21.8313141338	59.6256884113	26.5572011807	301861.586314	99786.4604688	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=6.3
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	F4	6	4	1	1	11268	124.220268933	25.4608416928	0.964854574074	0.0464949790429	9.77549072498	1.26354335951	13.450804704	1.63366330749	139.399615923	73.318323422	2512.8722409	634.309501604	138.507549202	78.0781747795	148.239558805	78.8932849491	307818.007553	92699.7380501	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=6.4
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	F5	6	5	1	1	12456	122.851645387	25.2204143416	0.966468919661	0.0445143025559	9.70469853485	1.2607253445	13.4098264559	1.66636859238	202.016590627	113.027115153	2574.24180793	680.68489275	201.930439124	118.788506367	213.649880035	123.362767324	311935.365191	96759.1824556	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=6.5
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	F6	6	6	1	1	13704	128.263058156	32.0200345292	0.95673382271	0.0524933227023	9.75935422351	1.52984636802	13.8955664997	2.03640430869	258.042973402	164.270749583	2549.27800859	758.277352648	263.454668646	169.330977984	263.119106505	181.491997305	323809.422282	123783.547177	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=6.6
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	F7	6	7	1	1	16204	129.88450228	40.4871924976	0.928592347229	0.0717259312506	9.4005787705	1.68740122321	14.4475177204	2.8831848669	277.299924996	185.515855061	2575.56575513	803.397777	301.279399528	195.972935792	259.858634557	193.025139634	332459.705204	145325.510976	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=6.7
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	F8	6	8	1	1	15703	130.134343741	39.9784359676	0.925594349387	0.0750984116854	9.41002073475	1.70117277809	14.4681672409	2.91124406165	259.571242388	159.25080113	2747.70528102	858.27266054	280.547676384	171.595950538	246.248543856	166.062740841	355067.939509	152241.729333	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=6.8
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	F9	6	9	1	1	17800	129.757891074	40.5089098331	0.931333407889	0.0767513064078	9.49317459413	1.74456362125	14.3050153063	2.94716872743	264.657791277	162.12415579	2557.013025	815.132138576	282.983984475	171.069808341	253.299732222	175.134899169	328882.431318	142670.879045	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=6.9
20180320_HT29_EGF_8h	6335	20180320_P1_10perc_BckSub	21123	2018-03-23T18:19:07Z	25513	F10	6	10	1	1	18336	128.064754118	37.7512122635	0.938755679774	0.0721002464728	9.54654395228	1.68209621419	14.0622918588	2.78635186178	262.838973442	152.551826768	2523.50973517	812.217061019	280.140131675	161.596318589	252.003271796	164.748034562	320721.622715	136981.226802	11	http://columbus.hms.harvard.edu/browse/measurement/25513/well=6.10
